Client,Lobbyist,Lobbyist_Firm,Client_Phone,Client_Address,Client_Address_2,Client_City,Client_State,Client_Zip,Client_Location
Instacart,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(888) 245-7822,"50 BEALE STREET, #600",,SAN FRANCISCO,CA,94105,
Veritas Investments Inc,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(415) 294-1228,500 WASHINGTON ST. #448,,SAN FRANCISCO,CA,94111,
"Airis Holdings, Llc","Kaufman, Jon",Solem & Associates,713.739.1700,Williams Tower,,Houston,TX,77056,
Recology,"Owen, David",Platinum Advisors,415-330-1400,501 TUNNEL AVENUE,,SAN FRANCISCO,CA,94134,
San Francisco Fire Fighters Local 798,"Gruwell, Chris",Platinum Advisors,4157327700,1139 MISSION STREET,,SAN FRANCISCO,CA,94103,
Solbach Property Group,"Vettel, Steve",Farella Braun And Martel,415-637-7373,158 Jordan Avenue,,San Francisco,CA,94118,
Walden Development Llc,"Vettel, Steve",Farella Braun And Martel,650-348-3232,445 Virginia Avenue,,San Mateo,CA,94402,
Nick Podell Company,"Peterson, Rich H.",Lighthouse Public Affairs,(415) 296-8800,100 DRUMM STREET,,SAN FRANCISCO,CA,94111,
Laurnet Katgely,"Lesser, Philip",Philip Lesser,415-606-6589,3376 18th Street,,San Francisco,CA,94110,
Parsons Brinkerhoff,"Gruwell, Chris",Platinum Advisors,415-243-4600,"303 SECOND STREET, SUITE 700 NORTH",,SAN FRANCISCO,CA,94107,
Wine Institute,"Mogi, Viva",Platinum Advisors,(916) 441-6974,"915 L STREET, SUITE 1400",,SACRAMENTO,CA,95814,
John Hancock Real Estate,"Kevlin, John","Reuben, Junius & Rose, Llp",4153813028,"Robert Maulden, AIA, Managing Director, Investments",,Boston,MA,02116,
Triterra Realty Group,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(650) 401-6944,1105 BURLINGAME AVENUE,,BURLINGAME,CA,94010,
"Comcast Cable Communications, Inc.","Smolens, H. Marcia",Hms Associates,925-973-7035,12647 Alcosta Blvd.,,San Ramon,CA,94583,
Altschool,"Catalano, Tuija","Reuben, Junius & Rose, Llp",4155679000,1245 Folsom Street,,San Francisco,CA,94103,
Strada Investment Group,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(415) 263-9150,"100 SPEAR STREET, SUITE 2080",,SAN FRANCISCO,CA,94105,
"Dolby Laboratories, Inc.","Reuben, James","Reuben, Junius & Rose, Llp",415-645-4575,"475 Brannan Street, 3rd Flr.",,San Francisco,CA,94103,
Emporio Rulli,"Garland, Marsha",Marsha Garland Public Relations,415-720-1416,464 Magnolia Avenue,,Larkspur,CA,94939,
Paradigm Hotels Group,"Hayward, Boe","Goodyear Peterson Hayward & Associates, Llc",(650) 872-2017,150 W HARRIS AVENUE,,SOUTH SAN FRANCISCO,CA,94080,
Cypress Security,"Peterson, Rich",Goodyear Peterson Hayward & Associates,(866) 345-1277,478 TEHAMA STREET,,SAN FRANCISCO,CA,94103,
Francisco Parks Conservancy,"Bell, Veronica","Goodyear Peterson Hayward & Associates, Llc",415 298-9880,PO BOX 475035,,SAN FRANCISCO,CA,94147,
Piazza Pellegrini,"Garland, Marsha",Marsha Garland Public Relations,415-397-7355,659 Columbus Avenue,,San Francisco,CA,94133,
Nick Podell Company,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 296-8800,100 DRUMM STREET,,SAN FRANCISCO,CA,94111,
Brown And Caldwell,"Piccini, Jacqueline",Noyola Piccini Group,(415) 552-5849,1390 MARKET STREET,,SAN FRANCISCO,CA,94102,
Sfo Shuttle Bus,"Kirk, Laura",Platinum Advisors,415-813-4344,"923 FOLSOM STREET, SUITE B",,SAN FRANCISCO,CA,94107,
San Francisco Giants,"Baer, Laurence M.",San Francisco Giants,4158845500,24 Willie Mays Plaza,,San Francisco,CA,94107,
"Axa-Im, Inc.","Remstedt, Lawrence","Axa Investment Managers, Inc",203-548-4200,100 West Putnam Ave,,Greenwich,CT,06830,
"Fortress Capital Formation, Llc","Bohart, Stuart","Fortress Capital Formation, Llc",212-798-6100,1345 Avenue of the Americas,,New York,NY,10105,
Jay Singh,"Reuben, James","Reuben, Junius & Rose, Llp",650-333-7752,275 S. Airport Blvd.,,South San Francisco,CA,94080,
Beumer Corporation,"Kirk, Laura",Platinum Advisors,732-893-2800,800 APGAR DRIVE,,SOMERSET,NJ,08873,
Valor Equity Partners,"Tam, Paul",Mercury Capital Advisors,3126831881,875 North Michigan Ave,,Chicago,IL,60611,
Winton Capital Us Llc,"Morris, Colin",Winton Capital Us Llc,917-322-3606,375 Park Avenue,,New York,NY,10152,
"992 Peralta Group, Llc","Knight, Jody","Reuben, Junius & Rose, Llp",4157408563,1965 Market Street,,San Francisco,CA,94107,
Union Property Capital,"Kevlin, John","Reuben, Junius & Rose, Llp",415-989-8846,"235 Montgomery St., Ste. 620",,San Francisco,CA,94104,
Sherman Little,"Sarjapur, Melinda A.","Reuben, Junius & Rose, Llp",415-722-9670,296 Crown Rd.,,Kentfield,CA,94904,
Bill Waytena,"Junius, Andrew","Reuben, Junius & Rose, Llp",415-839-8837,538A Simonds Loop,,San Francisco,CA,94129,
The Sherwin-Williams Company,"Junius, Andrew","Reuben, Junius & Rose, Llp",216-566-2455,101 W. Prospect Avenue,,Cleveland,OH,44115,
James Hong,"Sarjapur, Melinda A.","Reuben, Junius & Rose, Llp",415-567-9000,4301 Caesar Chavez St.,,San Francisco,CA,94131,
Westbrook Acquisitions Llc,"Knight, Jody","Reuben, Junius & Rose, Llp",2128498818,"645 Madison Ave.,18th Fl.",,New York,NY,10022-1010,
Henry Chan,"Sarjapur, Melinda A.","Reuben, Junius & Rose, Llp",415-221-2822,6137 Geary Blvd.,,San Francisco,CA,94121,
"Sol Properties, Llc","Silverman, David","Reuben, Junius & Rose, Llp",415-567-9000,650 Florida Street,,San Francisco,CA,94110,
John Stalder,"Sarjapur, Melinda A.","Reuben, Junius & Rose, Llp",415-567-9000,"1840 Jefferson St., Apt. 302",,San Francisco,CA,94123,
"Birmingham Builders, Inc.","Silverman, David","Reuben, Junius & Rose, Llp",415-552-2025,"50 Osgood Place, Ste. 340",,San Francisco,CA,94133,
Shorenstein,"Lang, Davi",New Deal Advisers,4157727000,"235 MONTGOMERY STREET, 16TH FLOOR",,SAN FRANCISCO,CA,94104,
Koret Family House,"Lang, Davi",New Deal Advisers,4154768321,50 IRVING STREET,,SAN FRANCISCO,CA,94122,
The Shn Orpheum Theatre,"Lang, Davi",New Deal Advisers,4159951100,1192 MARKET STREET,,SAN FRANCISCO,CA,94102,
400 Beale Street,"Dorsey, Matt",Lighthouse Public Affairs,(415) 364-0000,"400 BEALE STREET, #2301",,SAN FRANCISCO,CA,94105,
Car2go,"Overman, Jason",Lighthouse Public Affairs,(619) 794-2606,633 NINTH AVENUE,,SAN JOSE,CA,92101,
"F&f Investors, Llc","Overman, Jason",Lighthouse Public Affairs,(650) 520-5251,33 FALMOUTH,,SAN FRANCISCO,CA,94107,
Joe & The Juice,"Guehring, Ross E.",Lighthouse Public Affairs,(415) 364-0000,"1675 S. STATE STREET, STE. B",,DOVER,DE,19901,
Prologis,"Overman, Jason",Lighthouse Public Affairs,(303) 567-5000,"PIER ONE, BAY ONE",,SAN FRANCISCO,CA,94111,
Animal Legal Defense Fund,"Gruwell, Chris S.",New Deal Advisers,7077952533,525 EAST COTATI AVENUE,,COTATI,CA,94931,
San Francisco Bar Pilots,"Overman, Jason",Lighthouse Public Affairs,(415) 362-0861,PIER 9 EAST END,,SAN FRANCISCO,CA,94111,
Cerner,"Gruwell, Chris S.",New Deal Advisers,8168855404,2800 ROCKCREEK PARKWAY,,KANSAS CITY,MO,64117,
Millenium Tower Homeowners Assoc.,"Overman, Jason",Lighthouse Public Affairs,(415) 364-0000,301 MISSION STREET,,SAN FRANCISCO,CA,94105,
Sparc,"Overman, Jason",Lighthouse Public Affairs,(415) 252-7727,1256 MISSION STREET,,SAN FRANCISCO,CA,94103,
Joe & The Juice,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 364-0000,"1675 S. STATE STREET, STE. B",,DOVER,DE,19901,
University Of San Francisco,"Lang, Davi",New Deal Advisers,4154225555,2130 FULTON STREET,,SAN FRANCISCO,CA,94117,
Teamsters Local #853,"Lang, Davi",New Deal Advisers,5108958853,7750 PARDEE LANE,,OAKLAND,CA,94621,
Sweaty Betty,"Overman, Jason",Lighthouse Public Affairs,(917) 534-7916,"168 FIFTH AVENUE, SUITE #201",,NEW YORK,NY,10010,
One Vassar,"Overman, Jason",Lighthouse Public Affairs,(415) 982-7777,433 CALIFORNIA STREET,,SAN FRANCISCO,CA,94104,
"Pnb Noriega, Llc","Gladstone, Brett",Hanson Bridgett Llp,415-928-3300,"4000 Montgomery Dr., Ste. F",,Santa Rosa,CA,95405,
Millenium Tower Homeowners Assoc.,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 364-0000,301 MISSION STREET,,SAN FRANCISCO,CA,94105,
Hines,"Overman, Jason",Lighthouse Public Affairs,(415) 982-6200,101 CALIFORNIA STREET,,SAN FRANCISCO,CA,94111,
"Fulton Street Ventures, Llc","Jordan, K. Taylor",Lighthouse Public Affairs,(415) 621-2370,"1426 FILLMORE STREET, 3RD FLOOR",,SAN FRANCISCO,CA,94115,
Teamsters Local 665,"Lang, Davi",New Deal Advisers,4157327700,"1500 FRANKLIN STREET, 3RD FLOOR",,SAN FRANCISCO,CA,94109,
Transdev,"Lang, Davi",New Deal Advisers,6305717070,"720 EAST BUTTERFIELD ROAD, SUITE 300",,LOMBARD,IL,60148,
Fish Six Rc-The Melt,"Frattin, Daniel","Reuben, Junius & Rose, Llp",415-716-6789,58 Tehama St.,,San Francisco,CA,94105,
Zipcar,"Lang, Davi",New Deal Advisers,8773539227,191 2ND STREET,,SAN FRANCISCO,CA,94105,
Facebook,"Overman, Jason",Lighthouse Public Affairs,(650) 543-4800,1 HACKER WAY,,MENLO PARK,CA,94025,
Lohr,"Lang, Davi",New Deal Advisers,4159551100,29 RUE DU 14 JUILLET,,"67980 HANGENBIETEN, FRANCE",CA,67980,
Common Living Inc.,"Overman, Jason",Lighthouse Public Affairs,(310) 804-7161,335 MADISON AVE. 2ND FLOOR,,NEW YORK,NY,10017,
Millenium Tower Homeowners Assoc.,"Dorsey, Matt",Lighthouse Public Affairs,(415) 364-0000,301 MISSION STREET,,SAN FRANCISCO,CA,94105,
Arcadis,"Lang, Davi",New Deal Advisers,4153742744,100 MONTGOMERY STREET # 300,,SAN FRANCISCO,CA,94104,
Corepower,"Overman, Jason",Lighthouse Public Affairs,(213) 422-1450,1120 MANZANITA STREET,,SAN FRANCISCO,CA,90029,
"Ticd, Llc","Wallace, Jay",Platinum Advisors,4159551770,1 SANSOME STREET,,SAN FRANCISCO,CA,94104,
At&t,"Overman, Jason",Lighthouse Public Affairs,(415) 778-1250,"525 MARKET STREET, ROOM 1946",,SAN FRANCISCO,CA,94105,
Aecom,"Wallace, Jay",Platinum Advisors,4157968100,300 CALIFORNIA STREET #400,,SAN FRANCISCO,CA,94104,
"Fulton Street Ventures, Llc","Guehring, Ross E.",Lighthouse Public Affairs,(415) 621-2370,"1426 FILLMORE STREET, 3RD FLOOR",,SAN FRANCISCO,CA,94115,
Joe & The Juice,"Jordan, K. Taylor",Lighthouse Public Affairs,(415) 364-0000,"1675 S. STATE STREET, STE. B",,DOVER,DE,19901,
Accenture,"Wallace, Jay",Platinum Advisors,4155375000,560 MISSION STREET #1200,,SAN FRANCISCO,CA,94105,
Integral Development,"Overman, Jason",Lighthouse Public Affairs,(404) 224-1860,"191 PEACHTREE STREET, NE SUITE 4100",,ATLANTA GA,GA,30303,
Recology,"Lang, Davi",New Deal Advisers,4158751000,"50 CALIFORNIA STREET, 24TH FLOOR",,SAN FRANCISCO,CA,94111,
Solbach Property Group,"Overman, Jason",Lighthouse Public Affairs,(415) 364-0000,857 MONTGOMERY STREET,,SAN FRANCISCO,CA,94133,
San Francisco Giants,"Overman, Jason",Lighthouse Public Affairs,(415) 972-2000,24 WILLIE MAYS PLAZA,,SAN FRANCISCO,CA,94107,
Joe & The Juice,"Peterson, Rich H.",Lighthouse Public Affairs,(415) 364-0000,"1675 S. STATE STREET, STE. B",,DOVER,DE,19901,
"Fulton Street Ventures, Llc","Hayward, A. Boe",Lighthouse Public Affairs,(415) 621-2370,"1426 FILLMORE STREET, 3RD FLOOR",,SAN FRANCISCO,CA,94115,
Jewish Home,"Overman, Jason",Lighthouse Public Affairs,(415) 469-2249,302 SILVER AVENUE,,SAN FRANCISCO,CA,94112,
Harrison/10th Llc,"Frattin, Daniel","Reuben, Junius & Rose, Llp",4155679000,"505 Sansome St., Ste. 400",,San Francisco,CA,94111,
"Fulton Street Ventures, Llc","Bell, Veronica N.",Lighthouse Public Affairs,(415) 621-2370,"1426 FILLMORE STREET, 3RD FLOOR",,SAN FRANCISCO,CA,94115,
"Van Ness Post Center, Llc","Piccini, Jacqueline",Noyola Piccini Group,5105344700,23 GEARY STREET SUITE 1100,,SAN FRANCISCO,CA,94108,
Hbk Engineering,"Wallace, Jay",Platinum Advisors,3124320076,921 VAN BUREN STREET #100,,CHICAGO,IL,60607,
Golden State Warriors,"Wallace, Jay",Platinum Advisors,5109862200,1011 BROADWAY,,OAKLAND,CA,94607,
Hearst Corp.,"Overman, Jason",Lighthouse Public Affairs,(212) 649-2000,300 W. 57TH STREET,,NEW YORK,NY,10019,
495 Cambridge Street,"Overman, Jason",Lighthouse Public Affairs,(415) 661-7941,495 CAMBRIDGE STREET,,SAN FRANCISCO,CA,94134,
"Palamon Capital Partners, Ltd","Wilson, Annette",Palamon Capital Parnters,442077662000,"Cleveland House, 33 King St. London SW1 6RJ",,"London, UK",CA,00000,
400 Beale Street,"Bell, Veronica N.",Lighthouse Public Affairs,(415) 364-0000,"400 BEALE STREET, #2301",,SAN FRANCISCO,CA,94105,
Ajax Consulting,"Reuben, James","Reuben, Junius & Rose, Llp",781-863-5070,"21 Worthen Rd., Ste. 102",,Lexington,MA,02421,
Trumark Urban,"Lang, Davi",New Deal Advisers,4157574488,"90 NEW MONTGOMERY STREET, SUITE 750",,SAN FRANCISCO,CA,94105,
Oceanwide Holdings,"Overman, Jason",Lighthouse Public Affairs,(415) 518-0959,"888 FIRST STREET, 6TH FLOOR",,SAN FRANCISCO,CA,94105,
"Thomas Canh Nguyen, Trustee","Gladstone, Brett",Hanson Bridgett Llp,415-995-5065,2250 Mission Street,,San Francisco,CA,94110,
San Francisco Federal Credit Union,"Overman, Jason",Lighthouse Public Affairs,(415) 359-2926,770 GOLDEN GATE AVENUE,,SAN FRANCISCO,CA,94102,
400 Beale Street,"Overman, Jason",Lighthouse Public Affairs,(415) 364-0000,"400 BEALE STREET, #2301",,SAN FRANCISCO,CA,94105,
Mike Borsetti,"Donner, Michael",Hanson Bridgett Llp,4159955025,2200 Green Street,,San Francisco,CA,94123,
Cypress Private Security Co.,"Overman, Jason",Lighthouse Public Affairs,(415) 240-4500,478 TEHAMA STREET,,SAN FRANCISCO,CA,94103,
Sf Armory,"Overman, Jason",Lighthouse Public Affairs,(415) 364-0000,1800 MISSION STREET,,SAN FRANCISCO,CA,94103,
Eaglerider,"Overman, Jason",Lighthouse Public Affairs,(415) 364-0000,11860 SOUTH LA CIENEGA BLVD.,,HAWTHORNE,CA,90250,
Bay Area Motivate,"Overman, Jason",Lighthouse Public Affairs,(503) 482-7042,5202 3RD AVENUE,,BROOKLYN,NY,10019,
Kilroy Realty,"Overman, Jason",Lighthouse Public Affairs,(415) 364-0000,303 2ND STREET,,SAN FRANCISCO,CA,94107,
400 Beale Street,"Peterson, Rich H.",Lighthouse Public Affairs,(415) 364-0000,"400 BEALE STREET, #2301",,SAN FRANCISCO,CA,94105,
Animal Legal Defense Fund,"Lang, Davi",New Deal Advisers,7077952533,525 EAST COTATI AVENUE,,COTATI,CA,94931,
Red & White Fleet,"Overman, Jason",Lighthouse Public Affairs,(415) 673-2900,PIER 43 1/2,,SAN FRANCISCO,CA,94133,
Sf Bay Limited Partnership,"Overman, Jason",Lighthouse Public Affairs,(415) 538-9400,165 BUENA VISTA AVENUE E,,SAN FRANCISCO,CA,94117,
Joe & The Juice,"Overman, Jason",Lighthouse Public Affairs,(415) 364-0000,"1675 S. STATE STREET, STE. B",,DOVER,DE,19901,
